Name,year,AcresBurned,Counties,Started,Extinguished,Latitude,Longitude,MajorIncident,PersonnelInvolved,duration_days,start_date,day_of_year
Becks Fire,2013,296,Lake,2013-01-22T11:08:00Z,2013-01-23T10:15:00Z,0,0,FALSE,NA,0.9631944444444445,2013-01-22,22
River Fire,2013,406,Inyo,2013-02-24T08:16:00Z,2013-02-28T20:00:00Z,36.602575,-118.01651,TRUE,476,4.488888888888889,2013-02-24,55
Jurupa Fire,2013,311,Riverside,2013-02-28T16:43:00Z,2013-03-02T19:00:00Z,0,0,FALSE,NA,2.095138888888889,2013-02-28,59
Butte Fire,2013,80,Fresno,2013-04-09T12:35:00Z,2013-04-09T15:30:00Z,0,0,FALSE,NA,0.12152777777777778,2013-04-09,99
Fawnskin Fire,2013,30,San Bernardino,2013-04-20T17:30:00Z,2013-04-22T09:00:00Z,34.288877,-116.941311,FALSE,NA,1.6458333333333333,2013-04-20,110
Gold Fire,2013,274,Madera,2013-04-30T12:59:00Z,2013-05-01T07:00:00Z,37.116295,-119.635004,FALSE,NA,0.7506944444444444,2013-04-30,120
306 Fire,2013,217,Glenn,2013-05-01T19:00:00Z,2013-05-05T18:00:00Z,39.514139,-122.560862,TRUE,221,3.9583333333333335,2013-05-01,121
Cedar Fire,2013,72,Butte,2013-05-01T04:16:00Z,2013-05-04T19:00:00Z,0,0,TRUE,44,3.613888888888889,2013-05-01,121
Panther Fire,2013,6965,Tehama,2013-05-01T09:12:00Z,2013-05-09T09:00:00Z,40.190062,-121.595555,TRUE,1811,7.991666666666666,2013-05-01,121
Summit Fire,2013,3166,Riverside,2013-05-01T12:38:00Z,2013-05-04T18:30:00Z,34.288877,-116.941311,TRUE,726,3.2444444444444445,2013-05-01,121
Yellow Fire,2013,125,Sonoma,2013-05-01T02:01:00Z,2013-05-03T06:15:00Z,38.638828,-122.655616,TRUE,249,2.176388888888889,2013-05-01,121
Springs Fire,2013,24251,Ventura,2013-05-02T07:01:00Z,2013-05-11T06:30:00Z,0,0,TRUE,2167,8.978472222222223,2013-05-02,122
Tres Pinos Fire,2013,354,San Benito,2013-05-03T11:42:00Z,2013-05-03T18:45:00Z,37.160346,-120.937494,FALSE,NA,0.29375,2013-05-03,123
Gorgonio Fire,2013,510,Riverside,2013-05-04T11:43:00Z,2013-05-05T18:45:00Z,33.894055,-116.855019,FALSE,NA,1.2930555555555556,2013-05-04,124
Ranger Fire,2013,15,Madera,2013-05-12T13:02:00Z,2013-05-13T09:00:00Z,0,0,FALSE,NA,0.8319444444444445,2013-05-12,132
Lytle Fire,2013,75,San Bernardino,2013-05-13T13:30:00Z,2013-05-15T08:15:00Z,34.1834,-117.4408,TRUE,292,1.78125,2013-05-13,133
Grand Fire,2013,4346,Kern,2013-05-15T12:50:00Z,2013-05-21T19:45:00Z,34.7861,-118.9411,TRUE,847,6.288194444444445,2013-05-15,135
