name,attribute,class,type,ban_tcg,ban_ocg
"""A"" Cell Breeding Device",NA,Continuous,Spell Card,NA,NA
"""A"" Cell Incubator",NA,Continuous,Spell Card,NA,NA
"""A"" Cell Recombination Device",NA,Quick-Play,Spell Card,NA,NA
"""A"" Cell Scatter Burst",NA,Quick-Play,Spell Card,NA,NA
"""Infernoble Arms - Durendal""",NA,Equip,Spell Card,NA,NA
"""Infernoble Arms - Hauteclere""",NA,Equip,Spell Card,NA,NA
"""Infernoble Arms - Joyeuse""",NA,Equip,Spell Card,NA,NA
1st Movement Solo,NA,Normal,Spell Card,NA,NA
3-Hump Lacooda,EARTH,Beast,Effect Monster,NA,NA
"30,000-Year White Turtle",WATER,Aqua,Normal Monster,NA,NA
4-Starred Ladybug of Doom,WIND,Insect,Flip Effect Monster,NA,NA
7,NA,Continuous,Spell Card,NA,NA
7 Colored Fish,WATER,Fish,Normal Monster,NA,NA
7 Completed,NA,Equip,Spell Card,NA,NA
8-Claws Scorpion,DARK,Insect,Effect Monster,NA,NA
A Cat of Ill Omen,DARK,Beast,Flip Effect Monster,NA,NA
A Deal with Dark Ruler,NA,Quick-Play,Spell Card,NA,NA
A Feather of the Phoenix,NA,Normal,Spell Card,NA,NA
A Feint Plan,NA,Normal,Trap Card,NA,NA
A Hero Emerges,NA,Normal,Trap Card,NA,NA
A Hero Lives,NA,Normal,Spell Card,Limited,Semi-Limited
A Legendary Ocean,NA,Field,Spell Card,NA,NA
A Major Upset,NA,Normal,Trap Card,NA,NA
A Man with Wdjat,DARK,Spellcaster,Effect Monster,NA,NA
A Rival Appears!,NA,Normal,Trap Card,NA,NA
A Wild Monster Appears!,NA,Normal,Spell Card,NA,NA
A Wingbeat of Giant Dragon,NA,Normal,Spell Card,NA,NA
A-Assault Core,LIGHT,Machine,Union Effect Monster,NA,NA
A-Team: Trap Disposal Unit,FIRE,Machine,Effect Monster,NA,NA
A-to-Z-Dragon Buster Cannon,LIGHT,Machine,Fusion Monster,NA,NA
A.I. Contact,NA,Normal,Spell Card,NA,NA
A.I. Love Fusion,NA,Normal,Spell Card,NA,NA
A.I. Shadow,NA,Continuous,Trap Card,NA,NA
A.I.'s Ritual,NA,Ritual,Spell Card,NA,NA
A.I.dle Reborn,NA,Quick-Play,Spell Card,NA,NA
A.I.Q,NA,Continuous,Trap Card,NA,NA
A/D Changer,LIGHT,Warrior,Effect Monster,NA,NA
Abaki,FIRE,Fiend,Effect Monster,NA,NA
Abare Ushioni,EARTH,Beast-Warrior,Effect Monster,NA,NA
ABC-Dragon Buster,LIGHT,Machine,Fusion Monster,NA,Limited
Abominable Chamber of the Unchained,NA,Normal,Trap Card,NA,NA
Abominable Unchained Soul,DARK,Fiend,Effect Monster,NA,NA
Abomination's Prison,NA,Normal,Spell Card,NA,NA
