name,attribute,class,type,ban_tcg,ban_ocg
"""A"" Cell Breeding Device",SPELL/TRAP,Continuous,Continuous Spell,NA,NA
"""A"" Cell Incubator",SPELL/TRAP,Continuous,Continuous Spell,NA,NA
"""A"" Cell Recombination Device",SPELL/TRAP,Quick-Play,Quick-Play Spell,NA,NA
"""A"" Cell Scatter Burst",SPELL/TRAP,Quick-Play,Quick-Play Spell,NA,NA
"""Infernoble Arms - Durendal""",SPELL/TRAP,Equip,Equip Spell,NA,NA
"""Infernoble Arms - Hauteclere""",SPELL/TRAP,Equip,Equip Spell,NA,NA
"""Infernoble Arms - Joyeuse""",SPELL/TRAP,Equip,Equip Spell,NA,NA
1st Movement Solo,SPELL/TRAP,Normal,Normal Spell,NA,NA
3-Hump Lacooda,EARTH,Beast,Effect Monster,NA,NA
"30,000-Year White Turtle",WATER,Aqua,Normal Monster,NA,NA
4-Starred Ladybug of Doom,WIND,Insect,Flip Effect Monster,NA,NA
7,SPELL/TRAP,Continuous,Continuous Spell,NA,NA
7 Colored Fish,WATER,Fish,Normal Monster,NA,NA
7 Completed,SPELL/TRAP,Equip,Equip Spell,NA,NA
8-Claws Scorpion,DARK,Insect,Effect Monster,NA,NA
A Cat of Ill Omen,DARK,Beast,Flip Effect Monster,NA,NA
A Deal with Dark Ruler,SPELL/TRAP,Quick-Play,Quick-Play Spell,NA,NA
A Feather of the Phoenix,SPELL/TRAP,Normal,Normal Spell,NA,NA
A Feint Plan,SPELL/TRAP,Normal,Normal Trap,NA,NA
A Hero Emerges,SPELL/TRAP,Normal,Normal Trap,NA,NA
A Hero Lives,SPELL/TRAP,Normal,Normal Spell,Limited,Semi-Limited
A Legendary Ocean,SPELL/TRAP,Field,Field Spell,NA,NA
A Major Upset,SPELL/TRAP,Normal,Normal Trap,NA,NA
A Man with Wdjat,DARK,Spellcaster,Effect Monster,NA,NA
A Rival Appears!,SPELL/TRAP,Normal,Normal Trap,NA,NA
A Wild Monster Appears!,SPELL/TRAP,Normal,Normal Spell,NA,NA
A Wingbeat of Giant Dragon,SPELL/TRAP,Normal,Normal Spell,NA,NA
A-Assault Core,LIGHT,Machine,Union Effect Monster,NA,NA
A-Team: Trap Disposal Unit,FIRE,Machine,Effect Monster,NA,NA
A-to-Z-Dragon Buster Cannon,LIGHT,Machine,Fusion Monster,NA,NA
A.I. Contact,SPELL/TRAP,Normal,Normal Spell,NA,NA
A.I. Love Fusion,SPELL/TRAP,Normal,Normal Spell,NA,NA
A.I. Shadow,SPELL/TRAP,Continuous,Continuous Trap,NA,NA
A.I.'s Ritual,SPELL/TRAP,Ritual,Ritual Spell,NA,NA
A.I.dle Reborn,SPELL/TRAP,Quick-Play,Quick-Play Spell,NA,NA
A.I.Q,SPELL/TRAP,Continuous,Continuous Trap,NA,NA
A/D Changer,LIGHT,Warrior,Effect Monster,NA,NA
Abaki,FIRE,Fiend,Effect Monster,NA,NA
Abare Ushioni,EARTH,Beast-Warrior,Effect Monster,NA,NA
ABC-Dragon Buster,LIGHT,Machine,Fusion Monster,NA,Limited
Abominable Chamber of the Unchained,SPELL/TRAP,Normal,Normal Trap,NA,NA
Abominable Unchained Soul,DARK,Fiend,Effect Monster,NA,NA
Abomination's Prison,SPELL/TRAP,Normal,Normal Spell,NA,NA
Absolute Crusader,EARTH,Warrior,Effect Monster,NA,NA
Absolute End,SPELL/TRAP,Normal,Normal Trap,NA,NA
Absolute King Back Jack,DARK,Fiend,Effect Monster,NA,NA
Absorb Fusion,SPELL/TRAP,Normal,Normal Spell,NA,NA
Absorbing Jar,EARTH,Rock,Flip Effect Monster,NA,NA
Absorbing Kid from the Sky,LIGHT,Fairy,Effect Monster,NA,NA
Absorouter Dragon,DARK,Dragon,Effect Monster,NA,NA
Abyss Actor - Comic Relief,DARK,Fiend,Pendulum Effect Monster,NA,NA
Abyss Actor - Curtain Raiser,DARK,Fiend,Pendulum Effect Monster,NA,NA
Abyss Actor - Evil Heel,DARK,Fiend,Pendulum Effect Monster,NA,NA
Abyss Actor - Extras,DARK,Fiend,Pendulum Effect Monster,NA,NA
Abyss Actor - Funky Comedian,DARK,Fiend,Pendulum Effect Monster,NA,NA
Abyss Actor - Hyper Director,DARK,Fiend,Link Monster,NA,NA
Abyss Actor - Leading Lady,DARK,Fiend,Pendulum Effect Monster,NA,NA
Abyss Actor - Mellow Madonna,DARK,Fiend,Pendulum Effect Monster,NA,NA
Abyss Actor - Sassy Rookie,DARK,Fiend,Pendulum Effect Monster,NA,NA
Abyss Actor - Superstar,DARK,Fiend,Pendulum Effect Monster,NA,NA
Abyss Actor - Trendy Understudy,DARK,Fiend,Pendulum Effect Monster,NA,NA
Abyss Actor - Twinkle Little Star,DARK,Fiend,Pendulum Effect Monster,NA,NA
Abyss Actor - Wild Hope,DARK,Fiend,Pendulum Effect Monster,NA,NA
Abyss Actors Back Stage,SPELL/TRAP,Normal,Normal Trap,NA,NA
Abyss Actors' Curtain Call,SPELL/TRAP,Normal,Normal Trap,NA,NA
Abyss Dweller,WATER,Sea Serpent,XYZ Monster,NA,NA
Abyss Flower,EARTH,Plant,Normal Monster,NA,NA
Abyss Playhouse - Fantastic Theater,SPELL/TRAP,Field,Field Spell,NA,NA
Abyss Prop - Wild Wagon,SPELL/TRAP,Continuous,Continuous Spell,NA,NA
Abyss Script - Abysstainment,SPELL/TRAP,Continuous,Continuous Spell,NA,NA
Abyss Script - Fantasy Magic,SPELL/TRAP,Normal,Normal Spell,NA,NA
Abyss Script - Fire Dragon's Lair,SPELL/TRAP,Normal,Normal Spell,NA,NA
Abyss Script - Opening Ceremony,SPELL/TRAP,Normal,Normal Spell,NA,NA
Abyss Script - Rise of the Abyss King,SPELL/TRAP,Normal,Normal Spell,NA,NA
Abyss Script - Romantic Terror,SPELL/TRAP,Quick-Play,Quick-Play Spell,NA,NA
Abyss Soldier,WATER,Aqua,Effect Monster,NA,NA
Abyss Stungray,SPELL/TRAP,Continuous,Continuous Trap,NA,NA
Abyss Warrior,WATER,Aqua,Effect Monster,NA,NA
Abyss-scale of Cetus,SPELL/TRAP,Equip,Equip Spell,NA,NA
Abyss-scale of the Kraken,SPELL/TRAP,Equip,Equip Spell,NA,NA
Abyss-scale of the Mizuchi,SPELL/TRAP,Equip,Equip Spell,NA,NA
Abyss-scorn,SPELL/TRAP,Normal,Normal Trap,NA,NA
Abyss-sphere,SPELL/TRAP,Continuous,Continuous Trap,NA,NA
Abyss-squall,SPELL/TRAP,Normal,Normal Trap,NA,NA
Abyss-strom,SPELL/TRAP,Normal,Normal Trap,NA,NA
Abyssal Designator,SPELL/TRAP,Normal,Normal Spell,NA,NA
Abyssal Kingshark,WATER,Fish,Effect Monster,NA,NA
Accel Synchron,DARK,Machine,Synchro Tuner Monster,NA,NA
Accellight,SPELL/TRAP,Normal,Normal Spell,NA,NA
Accesscode Talker,DARK,Cyberse,Link Monster,NA,NA
Accumulated Fortune,SPELL/TRAP,Normal,Normal Trap,NA,NA
Achacha Archer,FIRE,Warrior,Effect Monster,NA,NA
Achacha Chanbara,FIRE,Warrior,Effect Monster,NA,NA
Achichi @Ignister,FIRE,Cyberse,Effect Monster,NA,NA
Acid Crawler,EARTH,Insect,Normal Monster,NA,NA
Acid Rain,SPELL/TRAP,Normal,Normal Spell,NA,NA
Acid Trap Hole,SPELL/TRAP,Normal,Normal Trap,NA,NA
Acidic Downpour,SPELL/TRAP,Field,Field Spell,NA,NA
Acorno,EARTH,Plant,Effect Monster,NA,NA
Acrobat Monkey,EARTH,Machine,Normal Monster,NA,NA
Acrobatic Magician,DARK,Spellcaster,Pendulum Effect Monster,NA,NA
Action Magic - Double Banking,SPELL/TRAP,Quick-Play,Quick-Play Spell,NA,NA
Action Magic - Full Turn,SPELL/TRAP,Quick-Play,Quick-Play Spell,NA,NA
Adamancipator Analyzer,EARTH,Rock,Tuner Monster,NA,NA
Adamancipator Crystal - Dragite,WATER,Rock,Effect Monster,NA,NA
Adamancipator Crystal - Leonite,FIRE,Rock,Effect Monster,NA,NA
Adamancipator Crystal - Raptite,WIND,Rock,Effect Monster,NA,NA
Adamancipator Friends,SPELL/TRAP,Normal,Normal Spell,NA,NA
Adamancipator Laputite,SPELL/TRAP,Field,Field Spell,NA,NA
Adamancipator Relief,SPELL/TRAP,Normal,Normal Trap,NA,NA
Adamancipator Researcher,EARTH,Rock,Tuner Monster,NA,NA
Adamancipator Resonance,SPELL/TRAP,Counter,Counter Trap,NA,NA
Adamancipator Risen - Dragite,WATER,Rock,Synchro Monster,NA,NA
Adamancipator Risen - Leonite,FIRE,Rock,Synchro Monster,NA,NA
Adamancipator Risen - Raptite,WIND,Rock,Synchro Monster,NA,NA
Adamancipator Seeker,EARTH,Rock,Tuner Monster,NA,NA
Adamancipator Signs,SPELL/TRAP,Normal,Normal Spell,NA,NA
Adhesion Trap Hole,SPELL/TRAP,Normal,Normal Trap,NA,NA
Adhesive Explosive,WIND,Machine,Effect Monster,NA,NA
"Adreus, Keeper of Armageddon",DARK,Fiend,XYZ Monster,NA,NA
Advance Draw,SPELL/TRAP,Normal,Normal Spell,NA,NA
Advance Force,SPELL/TRAP,Continuous,Continuous Spell,NA,NA
Advance Zone,SPELL/TRAP,Continuous,Continuous Spell,NA,NA
Advanced Dark,SPELL/TRAP,Field,Field Spell,NA,NA
Advanced Heraldry Art,SPELL/TRAP,Normal,Normal Spell,NA,NA
Advanced Ritual Art,SPELL/TRAP,Ritual,Ritual Spell,NA,NA
Aegaion the Sea Castrum,WATER,Machine,XYZ Monster,NA,NA
Aegis of Gaia,SPELL/TRAP,Continuous,Continuous Trap,NA,NA
Aegis of the Ocean Dragon Lord,SPELL/TRAP,Normal,Normal Trap,NA,NA
Aerial Recharge,SPELL/TRAP,Continuous,Continuous Trap,NA,NA
"Aether, the Empowering Dragon",LIGHT,Dragon,Effect Monster,NA,NA
"Aether, the Evil Empowering Dragon",DARK,Dragon,Pendulum Effect Monster,NA,NA
After the Storm,SPELL/TRAP,Normal,Normal Spell,NA,NA
After The Struggle,SPELL/TRAP,Normal,Normal Spell,NA,NA
Afterglow,SPELL/TRAP,Normal,Normal Spell,NA,NA
Against the Wind,SPELL/TRAP,Normal,Normal Spell,NA,NA
Agave Dragon,EARTH,Wyrm,Link Monster,NA,NA
Agido,EARTH,Fairy,Effect Monster,NA,NA
"Ahrima, the Wicked Warden",DARK,Fiend,Effect Monster,NA,NA
Air Armor Ninja,WIND,Warrior,Effect Monster,NA,NA
Air Cracking Storm,SPELL/TRAP,Equip,Equip Spell,NA,NA
Air Eater,WIND,Fiend,Normal Monster,NA,NA
Airknight Parshath,LIGHT,Fairy,Effect Monster,NA,NA
Airorca,WIND,Sea Serpent,Effect Monster,NA,NA
Aitsu,FIRE,Fairy,Normal Monster,NA,NA
"Aiwass, the Magistus Spell Spirit",WIND,Fiend,Fusion Monster,NA,NA
Akakieisu,DARK,Spellcaster,Normal Monster,NA,NA
Akashic Magician,DARK,Spellcaster,Link Monster,NA,NA
